sample_id,iou,dice,precision,recall,pseudo_area,gt_area,area_ratio
goose_236,0.8279759374159217,0.9058936941876509,0.9881075808044786,0.8363098880809883,0.19921435546875,0.23537353515625,0.8463753384020164
goose_237,0.7751035218543009,0.8733051479100392,0.9857655832136988,0.7838770380028639,0.2727763671875,0.3430302734375,0.7951961920270566
goose_238,0.9218939043804242,0.9593598296755328,0.9675458925741881,0.9513111234052114,0.22649169921875,0.23035693359375,0.9832206727416479
goose_239,0.5950560231794759,0.7461255461025523,0.5980169919463335,0.991747914056053,0.105978515625,0.063904296875,1.6583942052018705
goose_240,0.7879790435749038,0.8814186568981371,0.8067723970389384,0.9712865126763983,0.426103515625,0.35393115234375,1.2039163910927901
goose_241,0.9306018308505443,0.9640536085481274,0.9605126254834566,0.9676207962786596,0.272189453125,0.27018994140625,1.0074003928804425
goose_242,0.20580798712380213,0.34136112767790366,0.20580798712380213,1.0,0.342201171875,0.070427734375,4.858897917302199
goose_243,0.9703198021669426,0.9849363551031587,0.9818182782056131,0.9880742999919974,0.2763173828125,0.27456787109375,1.0063718734161458
goose_244,0.4482249733541035,0.6189990942028986,0.46619244899554446,0.9208225138606217,0.06871240234375,0.03478759765625,1.9751982595269844
goose_245,0.9000960325506848,0.9474216219928608,0.9544354638414431,0.940510113105956,0.275236328125,0.2793115234375,0.985409856126427
goose_246,0.8252678714828723,0.9042704190179094,0.8292061137921495,0.9942779348043924,0.2541640625,0.21196728515625,1.1990721224392953
goose_247,0.9121474172954149,0.9540555388617235,0.9588488664372697,0.9493098970130772,0.3201328125,0.323349609375,0.9900516444686055
goose_248,0.6844976739484694,0.8127024270018778,0.6890605727446226,0.9904185721318142,0.19674658203125,0.1368818359375,1.437346165645266
goose_249,0.7873484906836212,0.8810240362051364,0.949416723519518,0.821822774374334,0.289146484375,0.33403857421875,0.8656080665272157
goose_250,0.701684370049596,0.8246939119845654,0.9883806599883596,0.7075206774890712,0.27768896484375,0.38792138671875,0.7158382454563649
