sample_id,model,iou,dice,precision,recall,pred_area,gt_area,area_ratio
goose_005,student_gt500,0.8789151180311401,0.9355559594965944,0.9524099795358558,0.9192880707726575,0.134572265625,0.1394208984375,0.9652230557481771
goose_006,student_gs100,0.0,0.0,0.0,0.0,0.0,0.29193017578125,0.0
goose_006,student_lisa100,0.6882160628722662,0.8153175153438141,0.6890766587535447,0.9981885785108209,0.42288671875,0.29193017578125,1.4485885798488976
goose_006,student_lisa500,0.6789567442194113,0.8087840816114357,0.7041974604434303,0.9498555713337113,0.39376953125,0.29193017578125,1.3488483340107347
goose_006,student_gt500,0.8287881100414398,0.9063795914800208,0.8562547603179892,0.9627379058763316,0.328234375,0.29193017578125,1.1243591866500076
goose_007,student_gs100,0.08553439896382464,0.15758947675075025,0.6652975237736559,0.08938055476059091,0.04148828125,0.30881494140625,0.13434674197134017
goose_007,student_lisa100,0.9433820993592652,0.970866305365578,0.9560617952381244,0.9861365192354214,0.318529296875,0.30881494140625,1.031456882962054
goose_007,student_lisa500,0.9180085256725478,0.957251767533879,0.989719320046735,0.9268467380184773,0.289197265625,0.30881494140625,0.9364743308988968
goose_007,student_gt500,0.9492139106373613,0.9739453483860925,0.9940612219361042,0.954627458483081,0.296564453125,0.30881494140625,0.9603306490758998
goose_008,student_gs100,0.0,0.0,0.0,0.0,0.0,0.28223681640625,0.0
goose_008,student_lisa100,0.8749704160362222,0.9333165030795012,0.9392995318063304,0.9274092117760427,0.2786640625,0.28223681640625,0.987341290368343
goose_008,student_lisa500,0.9179308863854109,0.9572095562998837,0.9530765483932933,0.9613785658306532,0.2846953125,0.28223681640625,1.008710756183599
goose_008,student_gt500,0.9236832441064793,0.960327795063283,0.9723414291591596,0.9486074035372417,0.27534765625,0.28223681640625,0.9755908522354726
goose_009,student_gs100,0.0,0.0,0.0,0.0,0.0,0.3006201171875,0.0
goose_009,student_lisa100,0.8888880436585155,0.9411759967910666,0.9335111142356806,0.948967791186837,0.30559765625,0.3006201171875,1.0165575714262511
goose_009,student_lisa500,0.8958269099499168,0.9450513707220058,0.9415636971018044,0.9485649779914564,0.30285546875,0.3006201171875,1.0074358016469864
goose_009,student_gt500,0.8972199049726162,0.9458259452380838,0.9280412925493334,0.9643055532996573,0.3123671875,0.3006201171875,1.0390761284454335
goose_010,student_gs100,0.13064392755949625,0.23109650063126802,0.5777825424051839,0.14443273244838284,0.0409921875,0.1639833984375,0.2499776678041198
goose_010,student_lisa100,0.8545019979833439,0.9215433565588627,0.9604056619612806,0.885703821485359,0.151228515625,0.1639833984375,0.9222184505624735
goose_010,student_lisa500,0.8715393634604246,0.9313609753299257,0.9445563775322735,0.9185291718030717,0.15946484375,0.1639833984375,0.9724450479100042
goose_010,student_gt500,0.9170098101256509,0.9567085210331242,0.9875962062713175,0.927694304992288,0.154037109375,0.1639833984375,0.9393457559894949
goose_011,student_gs100,0.06992921445688803,0.13071745964500117,0.6822921901698663,0.07228291831051906,0.03886328125,0.366837890625,0.10594129516933676
goose_011,student_lisa100,0.8927396000721829,0.9433306092799418,0.9199113006871288,0.9679734960414437,0.38600390625,0.366837890625,1.0522465538997237
goose_011,student_lisa500,0.8818778920930532,0.9372317893720673,0.9286806368654345,0.9459418808333466,0.37365625,0.366837890625,1.018586845986338
goose_011,student_gt500,0.8034366384512872,0.8910062281325765,0.9798798089204517,0.8169134441835577,0.305828125,0.366837890625,0.8336873938483982
goose_012,student_gs100,0.10476417090709798,0.1896588858798315,0.6987589759600374,0.10971962922261759,0.03753515625,0.2390458984375,0.1570207081374115
goose_012,student_lisa100,0.862730804296229,0.9263075505128431,0.9267526211623076,0.9258629071463296,0.23881640625,0.2390458984375,0.9990399660107115
goose_012,student_lisa500,0.877033433036307,0.9344888776089719,0.9520545622557373,0.9175596344517389,0.230384765625,0.2390458984375,0.9637679087191513
goose_012,student_gt500,0.9142910693664335,0.9552268032771353,0.985606837458287,0.9266636163459063,0.22475,0.2390458984375,0.9401960103438557
goose_013,student_gs100,0.09214323972759966,0.16873837858591123,0.7034652771287037,0.09586685539327686,0.04179296875,0.30667431640625,0.1362780204085857
goose_013,student_lisa100,0.9208963812050316,0.9588194243224382,0.9836877152082747,0.9351775043824803,0.29155078125,0.30667431640625,0.9506853546346024
goose_013,student_lisa500,0.9410858421455164,0.9696488653024409,0.9920592350746269,0.948228618193224,0.293125,0.30667431640625,0.9558185485989598
goose_013,student_gt500,0.963698476808455,0.9815136979427997,0.9898681253198091,0.9732991120402377,0.301541015625,0.30667431640625,0.983261393254563
goose_014,student_gs100,0.11352296649924577,0.20389874284523377,0.18234464028968528,0.2312315354098084,0.036677734375,0.02892333984375,1.2681016291044147
goose_014,student_lisa100,0.34383652022290556,0.5117237328330272,0.34559955474504417,0.9853802650460032,0.082466796875,0.02892333984375,2.8512197180720857
goose_014,student_lisa500,0.4064577465795531,0.5779878529135218,0.4134744037230948,0.9599223432092513,0.0671484375,0.02892333984375,2.321600405165865
goose_014,student_gt500,0.48659455971745846,0.6546432671056464,0.4946577139503573,0.9675867308179286,0.056576171875,0.02892333984375,1.9560732674938803
goose_015,student_gs100,0.0,0.0,0.0,0.0,0.0,0.1268173828125,0.0
goose_015,student_lisa100,0.7915624961513357,0.8836560241150206,0.7980295260681161,0.9898660875859573,0.157302734375,0.1268173828125,1.2403877992622883
goose_015,student_lisa500,0.8169773805539697,0.8992708322047304,0.8467659661293614,0.9587173978330676,0.143583984375,0.1268173828125,1.1322105944047867
goose_015,student_gt500,0.9230914673806174,0.9600078654999509,0.9810230359927339,0.9398741731543727,0.121498046875,0.1268173828125,0.9580551512771349
goose_016,student_gs100,3.265719335915973e-05,6.531225380341828e-05,1.0,3.265719335915973e-05,1.171875e-05,0.35884130859375,3.265719335915973e-05
goose_016,student_lisa100,0.585368781131849,0.7384638679638111,0.812355477170292,0.6768938110536435,0.29900390625,0.35884130859375,0.8332482885589605
goose_016,student_lisa500,0.6319241035646618,0.7744528096427163,0.8641673426428097,0.7016139457101375,0.291341796875,0.35884130859375,0.8118959269676299
goose_016,student_gt500,0.9395350279704285,0.9688250167397887,0.949157188958862,0.9893251799207247,0.37402734375,0.35884130859375,1.0423196404443011
goose_017,student_gs100,0.0,0.0,0.0,0.0,3.90625e-06,0.28708154296875,1.3606761199640102e-05
goose_017,student_lisa100,0.8171433992560507,0.8993713975359282,0.8298944462020765,0.9815441292778382,0.339541015625,0.28708154296875,1.1827337003757168
goose_017,student_lisa500,0.9006686079867022,0.9477387106853333,0.9106688197667127,0.9879546146480186,0.3114453125,0.28708154296875,1.0848670704473053
goose_017,student_gt500,0.7931697331986973,0.8846566150587685,0.8031091676886282,0.9846362657604564,0.351970703125,0.28708154296875,1.2260304145129715
goose_018,student_gs100,0.0,0.0,0.0,0.0,0.0,0.03549755859375,0.0
goose_018,student_lisa100,0.032565017226134946,0.06307596457919337,0.040158362534402116,0.14692086548645786,0.129869140625,0.03549755859375,3.658537256358409
goose_018,student_lisa500,0.06292457046929374,0.11839893858415898,0.06584260505550685,0.5867480983232232,0.31633203125,0.03549755859375,8.911374296757865
goose_018,student_gt500,0.014040341262218205,0.027691879091795515,0.023273020154341798,0.034182038267376445,0.05213671875,0.03549755859375,1.4687409730532746
goose_019,student_gs100,0.0,0.0,0.0,0.0,0.0,0.14720361328125,0.0
goose_019,student_lisa100,0.6942675306749176,0.8195488824581956,0.6970085191867711,0.994367654814859,0.21000390625,0.14720361328125,1.4266219528780355
goose_019,student_lisa500,0.7912821068016348,0.8834812828164545,0.8113039472515763,0.969755168787918,0.175953125,0.14720361328125,1.1953043887844017
goose_019,student_gt500,0.8114863742224,0.8959342844306397,0.8430997355054655,0.9558335240635148,0.16688671875,0.14720361328125,1.1337134668776307
goose_020,student_gs100,0.15270115991621624,0.2649449228060381,0.5737085600037197,0.17224471278006562,0.042005859375,0.139912109375,0.3002303343337754
goose_020,student_lisa100,0.830517679929757,0.907412901864599,0.8598047055589569,0.9606023591819641,0.156314453125,0.139912109375,1.1172331960633768
goose_020,student_lisa500,0.8352625246081347,0.910237650917522,0.9219817278364097,0.8987889997906051,0.136392578125,0.139912109375,0.9748446988204089
goose_020,student_gt500,0.9064735801551226,0.950942713909905,0.966297518517451,0.9360682627207371,0.13553515625,0.139912109375,0.9687164095763244
goose_021,student_gs100,0.0,0.0,0.0,0.0,0.0,0.14129833984375,0.0
goose_021,student_lisa100,0.8065198983911939,0.8928989922662292,0.8194045103405272,0.9808762902629423,0.169142578125,0.14129833984375,1.1970599110509055
goose_021,student_lisa500,0.8457836559495073,0.9164493934305855,0.8806110877514876,0.9553284792607618,0.153287109375,0.14129833984375,1.0848472072956228
goose_021,student_gt500,0.9036949545228878,0.9494115140409938,0.9367700877240192,0.9623987918957492,0.1451640625,0.14129833984375,1.0273585851081106
goose_022,student_gs100,0.04129926132188576,0.07932255952906002,0.10914503270645952,0.062299911760630655,0.03821875,0.06695654296875,0.5707993320060966
goose_022,student_lisa100,0.2835267470339821,0.44179328196964424,0.3475604656608571,0.606131542292911,0.11676953125,0.06695654296875,1.743959978705871
goose_022,student_lisa500,0.24415402593025387,0.39248199313216053,0.2465681690667664,0.9614445003536868,0.261083984375,0.06695654296875,3.8993050238100446
goose_022,student_gt500,0.21828591499824376,0.3583492385669721,0.8560998457130262,0.226600158976715,0.01772265625,0.06695654296875,0.2646889379917886
goose_023,student_gs100,0.12252832107429011,0.2183077589650962,0.4295504871567759,0.14634081942107924,0.0441015625,0.1294501953125,0.3406836304382266
goose_023,student_lisa100,0.7012789043953769,0.8244138013862068,0.7094171208511472,0.9839050370783889,0.179537109375,0.1294501953125,1.3869203437012003
goose_023,student_lisa500,0.7808232961439436,0.8769239461710522,0.783759698672782,0.9952246957912445,0.164376953125,0.1294501953125,1.2698084597569348
goose_023,student_gt500,0.8517022371885462,0.9199127376782698,0.86694145918163,0.9797785103766682,0.146298828125,0.1294501953125,1.1301553294054634
goose_024,student_gs100,0.07653873352941029,0.14219410996663281,0.7022215599064606,0.07910623730450717,0.042595703125,0.37811962890625,0.11265139355026996
goose_024,student_lisa100,0.7856145897642955,0.8799374672089773,0.9772325877707553,0.8002618838852308,0.30964453125,0.37811962890625,0.818906260290371
goose_024,student_lisa500,0.7077930773262732,0.828897934677656,0.9827703444514488,0.7166863165669967,0.275744140625,0.37811962890625,0.7292510611591849
goose_024,student_gt500,0.9599497488073574,0.9795656744684329,0.980285857650546,0.9788465486983932,0.377564453125,0.37811962890625,0.9985317456730403
goose_025,student_gs100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goose_025,student_lisa100,0.0,0.0,0.0,0.0,0.076541015625,0.0,0.0
goose_025,student_lisa500,0.0,0.0,0.0,0.0,0.064513671875,0.0,0.0
goose_025,student_gt500,0.0,0.0,0.0,0.0,0.04684375,0.0,0.0
goose_026,student_gs100,0.09097095844707309,0.16677063260522423,0.6662177920924034,0.0953151782504464,0.035171875,0.24583837890625,0.14306909749601274
goose_026,student_lisa100,0.7646786532651348,0.8666491792715593,0.9586784819880563,0.7907411857939886,0.2027734375,0.24583837890625,0.8248241727030232
goose_026,student_lisa500,0.8928858325927593,0.9434122409482445,0.974814215383051,0.9139702508754124,0.230494140625,0.24583837890625,0.9375840405817943
goose_026,student_gt500,0.93153594900157,0.9645546069003688,0.9926040974855193,0.938046822397051,0.232326171875,0.24583837890625,0.9450362181390609
goose_027,student_gs100,0.09454157195915186,0.17275099344089626,0.17242903564943132,0.1730741557943208,0.04087109375,0.04071875,1.0037413660782808
goose_027,student_lisa100,0.2878707669602323,0.4470491517401161,0.4650650494998186,0.43037701458173444,0.037681640625,0.04071875,0.9254125095932464
goose_027,student_lisa500,0.5858151144775349,0.7388189318280504,0.5931326981175924,0.9793745203376822,0.067234375,0.04071875,1.6511895625479662
goose_027,student_gt500,0.6531086002222394,0.7901581301245874,0.887817061497966,0.7118548541826554,0.0326484375,0.04071875,0.8018035303146586
goose_028,student_gs100,0.13117324274888947,0.23192423192423192,0.34466186062478543,0.17476066144473454,0.039826171875,0.078544921875,0.5070496083550913
goose_028,student_lisa100,0.22752959647025317,0.37071138182657565,0.22867774406899838,0.9784097973393012,0.33605859375,0.078544921875,4.278552778813875
goose_028,student_lisa500,0.24207124202528932,0.38978640489344907,0.24312328851419956,0.9824381449707821,0.317392578125,0.078544921875,4.040905134899912
goose_028,student_gt500,0.45980823372641744,0.629957035593197,0.7031039343056747,0.5705955489245307,0.0637421875,0.078544921875,0.81153798333955
goose_029,student_gs100,0.07635528395458806,0.1418774731593356,0.6607393871239808,0.07947094884982264,0.034736328125,0.2888056640625,0.12027578557975498
goose_029,student_lisa100,0.8687738354831545,0.9297795367073307,0.9207482857862836,0.9389897104521924,0.29452734375,0.2888056640625,1.0198115217236936
goose_029,student_lisa500,0.887578815614488,0.9404415945678464,0.9224745191651001,0.9591224635402401,0.300279296875,0.2888056640625,1.0397278663136502
goose_029,student_gt500,0.9179684753262766,0.9572299932303274,0.9655196730672647,0.9490814473670863,0.283888671875,0.2888056640625,0.9829747376892306
goose_030,student_gs100,0.0,0.0,0.0,0.0,0.0,0.08812353515625,0.0
goose_030,student_lisa100,0.38338918285875484,0.5542752359339493,0.3842761179323286,0.9940158579763626,0.227951171875,0.08812353515625,2.586722961928667
goose_030,student_lisa500,0.3491196054832205,0.5175517486578586,0.3503462582152997,0.9900707569385573,0.24903515625,0.08812353515625,2.825977825429279
goose_030,student_gt500,0.6042140350877193,0.7532835667463544,0.6222842977117995,0.9541437413077567,0.135119140625,0.08812353515625,1.5332923308787267
goose_031,student_gs100,0.0,0.0,0.0,0.0,0.0,0.003447265625,0.0
goose_031,student_lisa100,0.010336023237019945,0.020460565592631878,0.010336023237019945,1.0,0.33351953125,0.003447265625,96.74900849858358
goose_031,student_lisa500,0.01309881628260789,0.025858911435059702,0.01309881628260789,1.0,0.263173828125,0.003447265625,76.34277620396601
goose_031,student_gt500,0.2076478986901732,0.34388814639662796,0.210060286360211,0.9475920679886686,0.01555078125,0.003447265625,4.511048158640227
goose_032,student_gs100,0.11252450764676031,0.20228679345639758,0.6875600713991487,0.11858830773359963,0.042673828125,0.24741748046875,0.1724770135244745
goose_032,student_lisa100,0.9648335515459525,0.9821020725005545,0.9810837318124168,0.9831225294102556,0.247931640625,0.24741748046875,1.0020781076392657
goose_032,student_lisa500,0.9715174827355064,0.9855529978740164,0.9871677596147754,0.9839435102060149,0.246609375,0.24741748046875,0.996733838420717
goose_032,student_gt500,0.9782696454417456,0.9890154738974413,0.9977826160310433,0.9804010570127746,0.243107421875,0.24741748046875,0.9825798137399819
goose_033,student_gs100,0.11863331062007203,0.2121040192416801,0.45007090522335147,0.13874506482328994,0.0330546875,0.10722509765625,0.3082737924470735
goose_033,student_lisa100,0.6217284905999789,0.7667479411056812,0.7094203123063577,0.8341552935604767,0.126078125,0.10722509765625,1.1758266278683225
goose_033,student_lisa500,0.6882143699193243,0.8153163273360982,0.7338230150402238,0.9171709996038198,0.134015625,0.10722509765625,1.2498531400702195
goose_033,student_gt500,0.7317908235321581,0.8451261129096395,0.8340280241220291,0.8565235408498295,0.1101171875,0.10722509765625,1.02697213532061
goose_034,student_gs100,0.1332502846426897,0.2351647936002118,0.6695789133595391,0.1426289679694893,0.036271484375,0.1702783203125,0.21301293264129842
goose_034,student_lisa100,0.907374374944342,0.9514381516956466,0.9390164209115281,0.9641929286267312,0.17484375,0.1702783203125,1.0268115734235654
goose_034,student_lisa500,0.9469172748309007,0.9727349868146248,0.9691933684042723,0.9763025836607118,0.17152734375,0.1702783203125,1.007335187681014
goose_034,student_gt500,0.9625918466091301,0.9809394126162799,0.980644236831547,0.9812347661514639,0.170380859375,0.1702783203125,1.0006021850715452
goose_035,student_gs100,0.000946951111808922,0.0018921104874880517,0.8826219512195121,0.0009470703792697908,0.0003203125,0.29851513671875,0.0010730192898117145
goose_035,student_lisa100,0.9278667366671042,0.9625838954731903,0.9539944222032297,0.9713294480002748,0.303939453125,0.29851513671875,1.018170992820912
goose_035,student_lisa500,0.952989216619093,0.9759288054532684,0.968975936639385,0.9829821757756081,0.302830078125,0.29851513671875,1.0144546821098568
goose_035,student_gt500,0.9791021984830127,0.9894407668623655,0.9888257204469711,0.9900565788677357,0.29888671875,0.29851513671875,1.001244767804187
goose_036,student_gs100,0.0,0.0,0.0,0.0,0.03840625,0.00976953125,3.9312275089964017
goose_036,student_lisa100,0.05193488470179822,0.09874163402522901,0.052047319193211004,0.9600659736105558,0.180208984375,0.00976953125,18.446021591363454
goose_036,student_lisa500,0.04722451527170959,0.09018985820716174,0.04737283257425043,0.9378248700519792,0.193404296875,0.00976953125,19.796681327469013
