id,safe_score,mean_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
goose_024,0.7137590646743774,0.2745989263057709,0.00010866627417271957,0.7136503984002047,0.00017541453416924924,0.7135836501402082,0.005500085651874542,0.7082589790225029,0.005500085651874542,0.7082589790225029
goose_025,,0.07609497755765915,0.01860993169248104,,0.016638636589050293,,0.0727541595697403,,0.0727541595697403,
goose_026,0.8721057176589966,0.2209804505109787,0.0005726511590182781,0.8715330664999783,0.0066038514487445354,0.865501866210252,0.004532011225819588,0.867573706433177,0.004532011225819588,0.867573706433177
goose_027,0.5388688445091248,0.03418944776058197,5.521392267837655e-06,0.5388633231168569,9.212861186824739e-06,0.5388596316479379,0.013086138293147087,0.5257827062159777,0.013086138293147087,0.5257827062159777
goose_028,0.9595103859901428,0.3040810525417328,0.011708701960742474,0.9478016840294003,0.03898588567972183,0.920524500310421,0.2548188865184784,0.7046914994716644,0.2548188865184784,0.7046914994716644
goose_029,0.9013403654098511,0.27446871995925903,0.054733190685510635,0.8466071747243404,0.0011132926447317004,0.9002270727651194,0.022730963304638863,0.8786094021052122,0.022730963304638863,0.8786094021052122
goose_030,0.9872230887413025,0.25432783365249634,0.014997974038124084,0.9722251147031784,0.0903673842549324,0.8968557044863701,0.1956060826778412,0.7916170060634613,0.1956060826778412,0.7916170060634613
goose_031,0.9803766012191772,0.30214938521385193,0.01318153366446495,0.9671950675547123,0.36093977093696594,0.6194368302822113,0.29631251096725464,0.6840640902519226,0.29631251096725464,0.6840640902519226
goose_032,0.9746028780937195,0.24503563344478607,0.00012178785254945979,0.97448109024117,3.986470983363688e-05,0.9745630133838858,0.0013828244991600513,0.9732200535945594,0.0013828244991600513,0.9732200535945594
goose_033,0.8985145688056946,0.13222430646419525,0.0,0.8985145688056946,0.00039433938218280673,0.8981202294235118,0.044604044407606125,0.8539105243980885,0.044604044407606125,0.8539105243980885
goose_034,0.970399796962738,0.171741783618927,1.9344690372236073e-05,0.9703804522723658,0.0004537693166639656,0.9699460276460741,0.002120329299941659,0.9682794676627964,0.002120329299941659,0.9682794676627964
goose_035,0.978475034236908,0.3042299747467041,0.0008701230981387198,0.9776049111387692,0.008214580826461315,0.9702604534104466,0.006033263634890318,0.9724417706020176,0.006033263634890318,0.9724417706020176
goose_036,0.9642982482910156,0.19988690316677094,3.629470938903978e-06,0.9642946188200767,0.0018870134372264147,0.9624112348537892,0.19711710512638092,0.7671811431646347,0.19711710512638092,0.7671811431646347
goose_037,0.8037731647491455,0.26324722170829773,0.00031421356834471226,0.8034589511808008,1.2125226476200623e-06,0.8037719522264979,0.001110667479224503,0.802662497269921,0.001110667479224503,0.802662497269921
goose_038,0.8091943860054016,0.3161430358886719,0.019380467012524605,0.789813918992877,0.0362967923283577,0.7728975936770439,0.017159612849354744,0.7920347731560469,0.017159612849354744,0.7920347731560469
goose_039,,0.31141361594200134,1.2448886991478503e-05,,0.5424779653549194,,0.3229876756668091,,0.3229876756668091,
goose_040,0.9674828052520752,0.38777822256088257,0.02514997310936451,0.9423328321427107,1.369144501950359e-05,0.9674691138070557,0.02223862148821354,0.9452441837638617,0.02223862148821354,0.9452441837638617
goose_041,0.8953062891960144,0.25206008553504944,0.01556087564677,0.8797454135492444,1.1322372301947325e-05,0.8952949668237125,0.08953502774238586,0.8057712614536285,0.08953502774238586,0.8057712614536285
goose_042,0.7293151021003723,0.0843011736869812,0.0,0.7293151021003723,2.57491301454138e-05,0.7292893529702269,0.0063907005824148655,0.7229244015179574,0.0063907005824148655,0.7229244015179574
goose_043,0.9423902034759521,0.28709885478019714,0.0015044687315821648,0.94088573474437,0.04343705624341965,0.8989531472325325,0.13628701865673065,0.8061031848192215,0.13628701865673065,0.8061031848192215
goose_044,0.9020199179649353,0.2566070854663849,0.00013837132428307086,0.9018815466406522,0.0005209985538385808,0.9014989194110967,0.01154873427003622,0.8904711836948991,0.01154873427003622,0.8904711836948991
goose_045,0.912072479724884,0.15169459581375122,0.0005294306320138276,0.9115430490928702,0.0009150614496320486,0.911157418275252,0.01067828107625246,0.9013941986486316,0.01067828107625246,0.9013941986486316
goose_046,0.9799258708953857,0.1702675223350525,0.0004972339374944568,0.9794286369578913,0.006185307167470455,0.9737405637279153,0.034380242228507996,0.9455456286668777,0.034380242228507996,0.9455456286668777
goose_047,0.9788803458213806,0.1132132038474083,,,6.063213731977157e-05,0.9788197136840608,0.022655900567770004,0.9562244452536106,0.022655900567770004,0.9562244452536106
goose_048,0.8838499188423157,0.07632549852132797,0.030606485903263092,0.8532434329390526,0.00010263869626214728,0.8837472801460535,0.021400896832346916,0.8624490220099688,0.021400896832346916,0.8624490220099688
goose_049,0.7800617218017578,0.19024837017059326,0.23650339245796204,0.5435583293437958,4.188879393041134e-05,0.7800198330078274,0.10710644721984863,0.6729552745819092,0.10710644721984863,0.6729552745819092
goose_050,0.9143921732902527,0.40297406911849976,0.09246233105659485,0.8219298422336578,0.0005083484575152397,0.9138838248327374,0.06019384786486626,0.8541983254253864,0.06019384786486626,0.8541983254253864
goose_051,0.5505615472793579,0.15600815415382385,0.00012010603677481413,0.5504414412425831,0.0004941148799844086,0.5500674323993735,0.022087354212999344,0.5284741930663586,0.022087354212999344,0.5284741930663586
goose_052,0.9824369549751282,0.1842043548822403,0.0003547681262716651,0.9820821868488565,0.05380288511514664,0.9286340698599815,0.044026993215084076,0.9384099617600441,0.044026993215084076,0.9384099617600441
goose_053,0.8481005430221558,0.06160742789506912,0.002090924885123968,0.8460096181370318,0.005317909177392721,0.842782633844763,0.04765913635492325,0.8004414066672325,0.04765913635492325,0.8004414066672325
goose_054,0.8458257913589478,0.2691366374492645,0.00031077710445970297,0.845515014254488,0.00039880251279100776,0.8454269888461567,0.00844091922044754,0.8373848721385002,0.00844091922044754,0.8373848721385002
goose_055,0.9923122525215149,0.17563872039318085,0.0,0.9923122525215149,0.008730448782444,0.9835818037390709,0.0873555839061737,0.9049566686153412,0.0873555839061737,0.9049566686153412
goose_056,0.8214057683944702,0.2387269139289856,0.23322610557079315,0.5881796628236771,0.0003650116268545389,0.8210407567676157,0.0563482865691185,0.7650574818253517,0.0563482865691185,0.7650574818253517
