id,area_ratio,empty
goose_251,0.34112744140625,0
goose_252,0.1419248046875,0
goose_253,0.144923828125,0
goose_254,0.24370166015625,0
goose_255,0.1176669921875,0
goose_256,0.2726328125,0
goose_257,0.27612060546875,0
goose_258,0.32914453125,0
goose_259,0.12024609375,0
goose_260,0.39476171875,0
goose_261,0.243673828125,0
goose_262,0.326388671875,0
goose_263,0.281380859375,0
goose_264,0.259802734375,0
goose_265,0.287021484375,0
goose_266,0.24898828125,0
goose_267,0.2599453125,0
goose_268,0.436279296875,0
goose_269,0.20876171875,0
goose_270,0.3225078125,0
goose_271,0.26409375,0
goose_272,0.294494140625,0
goose_273,0.14033251953125,0
goose_274,0.21791015625,0
goose_275,0.309443359375,0
goose_276,0.15031982421875,0
goose_277,0.1125302734375,0
goose_278,0.095994140625,0
goose_279,0.3395,0
goose_280,0.2575625,0
goose_281,0.15340625,0
goose_282,0.0370390625,0
goose_283,0.461615234375,0
goose_284,0.255662109375,0
goose_285,0.32942431640625,0
goose_286,0.29176611328125,0
goose_287,0.23897021484375,0
goose_288,0.164462890625,0
goose_289,0.266734375,0
goose_290,0.21273046875,0
goose_291,0.1410703125,0
goose_292,0.47654296875,0
goose_293,0.150193359375,0
goose_294,0.14268505859375,0
goose_295,0.257845703125,0
goose_296,0.365751953125,0
goose_297,0.4790234375,0
goose_298,0.13086962890625,0
goose_299,0.370111328125,0
goose_300,0.1703828125,0
goose_301,0.2192109375,0
goose_302,0.241439453125,0
goose_303,0.246001953125,0
goose_304,0.406923828125,0
goose_305,0.38376953125,0
goose_306,0.2268671875,0
goose_307,0.24197802734375,0
goose_308,0.21774609375,0
goose_309,0.394587890625,0
goose_310,0.14018359375,0
goose_311,0.27542041015625,0
goose_312,0.31346484375,0
goose_313,0.154998046875,0
goose_314,0.30038037109375,0
goose_315,0.13738671875,0
goose_316,0.12614990234375,0
goose_317,0.2911494140625,0
goose_318,0.228384765625,0
goose_319,0.1870234375,0
goose_320,0.26616796875,0
goose_321,0.368341796875,0
goose_322,0.155671875,0
goose_323,0.373525390625,0
goose_324,0.3150888671875,0
goose_325,0.14431298828125,0
goose_326,0.3771435546875,0
goose_327,0.127876953125,0
goose_328,0.30541259765625,0
goose_329,0.1414453125,0
goose_330,0.16876611328125,0
goose_331,0.225052734375,0
goose_332,0.18144140625,0
goose_333,0.17086279296875,0
goose_334,0.1667890625,0
goose_335,0.132884765625,0
goose_336,0.0207109375,0
goose_337,0.35350830078125,0
goose_338,0.126662109375,0
goose_339,0.27375048828125,0
goose_340,0.515068359375,0
goose_341,0.15515625,0
goose_342,0.15014111328125,0
goose_343,0.0326953125,0
goose_344,0.163982421875,0
goose_345,0.249466796875,0
goose_346,0.27374462890625,0
goose_347,0.2448671875,0
goose_348,0.42519140625,0
goose_349,0.251287109375,0
goose_350,0.24608154296875,0
goose_351,0.22978564453125,0
goose_352,0.352947265625,0
goose_353,0.1299443359375,0
goose_354,0.218755859375,0
goose_355,0.0878046875,0
goose_356,0.185794921875,0
goose_357,0.26282568359375,0
goose_358,0.1681455078125,0
goose_359,0.11114794921875,0
goose_360,0.1656123046875,0
goose_361,0.3341015625,0
goose_362,0.14069873046875,0
goose_363,0.2378046875,0
goose_364,0.32618359375,0
goose_365,0.377525390625,0
goose_366,0.118521484375,0
goose_367,0.15866162109375,0
goose_368,0.165615234375,0
goose_369,0.360119140625,0
goose_370,0.14394091796875,0
goose_371,0.14940283203125,0
goose_372,0.21857177734375,0
goose_373,0.144185546875,0
goose_374,0.1215078125,0
goose_375,0.22630859375,0
goose_376,0.2995234375,0
goose_377,0.22820068359375,0
goose_378,0.25847021484375,0
goose_379,0.18492236328125,0
goose_380,0.19900390625,0
goose_381,0.16612890625,0
goose_382,0.26997705078125,0
goose_383,0.275384765625,0
goose_384,0.24846875,0
goose_385,0.150583984375,0
goose_386,0.3325087890625,0
goose_387,0.4520791015625,0
goose_388,0.20147265625,0
goose_389,0.24928515625,0
goose_390,0.3783984375,0
goose_391,0.149205078125,0
goose_392,0.277314453125,0
goose_393,0.383333984375,0
goose_394,0.15802099609375,0
goose_395,0.40546484375,0
goose_396,0.33621484375,0
goose_397,0.3278818359375,0
goose_398,0.1859384765625,0
goose_399,0.0939501953125,0
goose_400,0.226923828125,0
goose_401,0.4104609375,0
goose_402,0.35767626953125,0
goose_403,0.248419921875,0
goose_404,0.37926123046875,0
goose_405,0.3995009765625,0
goose_406,0.302365234375,0
goose_407,0.320912109375,0
goose_408,0.21855078125,0
goose_409,0.29090625,0
goose_410,0.37409375,0
goose_411,0.2470859375,0
goose_412,0.412630859375,0
goose_413,0.1168251953125,0
goose_414,0.299591796875,0
goose_415,0.48028125,0
goose_416,0.377552734375,0
goose_417,0.05930859375,0
goose_418,0.26058984375,0
goose_419,0.25065234375,0
goose_420,0.155162109375,0
goose_421,0.32270703125,0
goose_422,0.11542822265625,0
goose_423,0.454185546875,0
goose_424,0.346623046875,0
goose_425,0.20820703125,0
goose_426,0.04137353515625,0
goose_427,0.3873046875,0
goose_428,0.349255859375,0
goose_429,0.29237841796875,0
goose_430,0.483041015625,0
goose_431,0.0879111328125,0
goose_432,0.1635205078125,0
goose_433,0.20995654296875,0
goose_434,0.198048828125,0
goose_435,0.21455078125,0
goose_436,0.25297900390625,0
goose_437,0.280880859375,0
goose_438,0.3651142578125,0
goose_439,0.01280517578125,0
goose_440,0.13894189453125,0
goose_441,0.2716513671875,0
goose_442,0.154060546875,0
goose_443,0.19926904296875,0
goose_444,0.322904296875,0
goose_445,0.431478515625,0
goose_446,0.244037109375,0
goose_447,0.1216796875,0
goose_448,0.24914453125,0
goose_449,0.234955078125,0
goose_450,0.320869140625,0
goose_451,0.15879296875,0
goose_452,0.3795625,0
goose_453,0.28635986328125,0
goose_454,0.270052734375,0
goose_455,0.360806640625,0
goose_456,0.33966845703125,0
goose_457,0.10427880859375,0
goose_458,0.26463330078125,0
goose_459,0.292693359375,0
goose_460,0.2472900390625,0
goose_461,0.450283203125,0
goose_462,0.2069462890625,0
goose_463,0.270197265625,0
goose_464,0.27796630859375,0
goose_465,0.173095703125,0
goose_466,0.281134765625,0
goose_467,0.205994140625,0
goose_468,0.283177734375,0
goose_469,0.368953125,0
goose_470,0.187076171875,0
goose_471,0.11147314453125,0
goose_472,0.2632880859375,0
goose_473,0.28227880859375,0
goose_474,0.305587890625,0
goose_475,0.321169921875,0
goose_476,0.1323662109375,0
goose_477,0.2466015625,0
goose_478,0.26934912109375,0
goose_479,0.307572265625,0
goose_480,0.1332158203125,0
goose_481,0.3294521484375,0
goose_482,0.12231494140625,0
goose_483,0.29594921875,0
goose_484,0.3450703125,0
goose_485,0.25584619140625,0
goose_486,0.1866796875,0
goose_487,0.344833984375,0
goose_488,0.286921875,0
goose_489,0.17372607421875,0
goose_490,0.3060546875,0
goose_491,0.27907568359375,0
goose_492,0.050328125,0
goose_493,0.20997998046875,0
goose_494,0.3107861328125,0
goose_495,0.23781103515625,0
goose_496,0.29741015625,0
goose_497,0.421859375,0
goose_498,0.3561826171875,0
goose_499,0.16858984375,0
goose_500,0.324234375,0
