id,lisa_traversable_area,hard_risk_area,overlap_area,overlap_over_a,overlap_over_b,iou
goose_116,0.17524365234375,0.0378017578125,8.88671875e-05,0.0005071064561324854,0.0023508744736062564,0.00041730198218345856
goose_117,0.0260791015625,0.01856201171875,0.00038916015625,0.014922299194627928,0.020965408390872933,0.008794191640455553
goose_118,0.122384765625,0.0,0.0,0.0,0.0,0.0
goose_119,0.4149375,0.00045703125,0.0,0.0,0.0,0.0
goose_120,0.34501953125,0.111447265625,0.0,0.0,0.0,0.0
goose_121,0.341509765625,0.0312265625,0.0004453125,0.0013039524629185433,0.014260695520749269,0.0011961408718125408
goose_122,0.2650234375,0.00875,0.0,0.0,0.0,0.0
goose_123,0.261775390625,0.0477734375,9.765625e-06,3.7305359287636964e-05,0.00020441537202761997,3.154892607435735e-05
goose_124,0.32311083984375,0.01571240234375,0.00616162109375,0.019069682393572207,0.3921501600300771,0.018522188022418434
goose_125,0.10937353515625,0.0009853515625,0.0009853515625,0.00900904922829766,0.9999999995044598,0.00900904922829766
goose_126,0.17547119140625,0.2220791015625,0.000921875,0.0052537114076071575,0.004151110993838962,0.0023242787410948924
goose_127,0.217103515625,0.0,0.0,0.0,0.0,0.0
goose_128,0.225654296875,7.8125e-05,0.0,0.0,0.0,0.0
goose_129,0.3023828125,0.07898095703125,0.0107177734375,0.03544438703004223,0.13570072888826976,0.02891646894999767
goose_130,0.24321533203125,0.0209287109375,0.0,0.0,0.0,0.0
goose_131,0.05522021484375,0.01970703125,0.001796875,0.03254016676806695,0.0911793855279688,0.024570844822932536
goose_132,0.18828515625,0.00237890625,0.0,0.0,0.0,0.0
goose_133,0.298869140625,0.038900390625,0.0,0.0,0.0,0.0
goose_134,0.28501416015625,0.101708984375,5.37109375e-06,1.884500667281326e-05,5.280844935164278e-05,1.388892396191166e-05
goose_135,0.28401171875,0.00018359375,0.0,0.0,0.0,0.0
goose_136,0.138130859375,0.425267578125,3.3203125e-05,0.0002403744185026035,7.807584379284147e-05,5.8937121025440254e-05
goose_137,0.416734375,0.0,0.0,0.0,0.0,0.0
goose_138,0.36514306640625,0.20038623046875,0.005107421875,0.013987454082753325,0.025487888379556355,0.009113530543388496
goose_139,0.1625263671875,0.002138671875,0.0,0.0,0.0,0.0
goose_140,0.09042578125,0.005109375,7.421875e-05,0.0008207697956537913,0.0145259938782393,0.0007774776986501048
goose_141,0.2647392578125,0.0,0.0,0.0,0.0,0.0
goose_142,0.2707666015625,0.00231640625,0.0,0.0,0.0,0.0
goose_143,0.1324052734375,0.35306298828125,0.00031396484375,0.0023712412322991405,0.0008892601438569975,0.0006471443121745184
