sample_id,model,prompt_type,target_gt,status,iou,dice,precision,recall,pred_pixels,gt_pixels
goose_025,grounded_sam2,obstacle,obstacle,ok,0.024956437630641825,0.0486975576997844,0.026445466701642367,0.30711048369121036,781495,67295
goose_026,grounded_sam2,obstacle,obstacle,ok,0.005695338788902957,0.011326171195665487,0.048561226633060284,0.006410682992835119,23805,180324
goose_027,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,57841,8523
goose_028,grounded_sam2,obstacle,obstacle,ok,0.08351154462023262,0.15414980123631847,0.08873248922413793,0.5866605881978754,623616,94322
goose_029,grounded_sam2,obstacle,obstacle,ok,0.08418976828852061,0.15530448774003988,0.9809986743261158,0.0843272810149662,4526,52652
goose_030,grounded_sam2,obstacle,obstacle,ok,0.02343294575131686,0.04579283058767352,0.036311806611096384,0.061974353529851645,184871,108319
goose_031,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,360525
goose_032,grounded_sam2,obstacle,obstacle,ok,0.03925577366357857,0.07554593326952486,0.04168388067380171,0.4025974025974026,256574,26565
goose_033,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,44482,576
goose_034,grounded_sam2,obstacle,obstacle,ok,0.13003858849783811,0.2301489344194849,0.9552002483700714,0.13083655105546957,32210,235156
goose_035,grounded_sam2,obstacle,obstacle,ok,0.4211549551033858,0.5926939262900403,0.47314881655944174,0.7930698247511324,378177,225622
goose_036,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,42,687185
goose_037,grounded_sam2,obstacle,obstacle,ok,0.017492873460970827,0.03438426728527219,0.7492963844988093,0.017595859558502038,4619,196694
goose_038,grounded_sam2,obstacle,obstacle,ok,0.04609687329040946,0.08813117497505873,0.1285198047681622,0.06705764239188991,85232,163352
goose_039,grounded_sam2,obstacle,obstacle,ok,0.18842340088283066,0.31709809945320616,0.20275030381787773,0.7272614468296315,664872,185357
goose_040,grounded_sam2,obstacle,obstacle,ok,0.4165559399402275,0.5881249419035359,0.5956465923030839,0.5807908850168013,175265,179748
goose_041,grounded_sam2,obstacle,obstacle,ok,0.05871349118323126,0.11091478794251,0.4319949144022944,0.06362529857359663,67642,459267
goose_042,grounded_sam2,obstacle,obstacle,ok,0.03720539386872159,0.07174161277728691,0.0656012282783167,0.07915020402875834,186277,154390
goose_043,grounded_sam2,obstacle,obstacle,ok,0.09265535227302814,0.16959666573779034,0.09645316628145512,0.7017747410940656,507946,69813
goose_044,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,8272,4893
goose_045,grounded_sam2,obstacle,obstacle,ok,0.01083545976123633,0.021438622194349437,0.017056603773584905,0.02885065460064396,119250,70501
goose_046,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,451028
goose_047,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,,117106,0
goose_048,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,9368
goose_049,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,752891
goose_050,grounded_sam2,obstacle,obstacle,ok,0.024680812803452617,0.04817268459614794,0.05672073561318318,0.04186365716028671,19358,26228
